visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
604,503,4,9,1,87,42,118,121,103,95,44
973,689,3,7,3,271,66,301,200,128,101,43
3625,1822,662,68,116,957,165,763,927,620,337,148
44,33,2,0,0,9,2,5,11,10,6,3
17111,0,0,0,0,17111,459,1284,1890,3982,4906,4590
519132,439699,3587,356,10847,64643,73000,136470,132334,67717,50810,45511
274830,267816,1855,149,694,4316,29935,74999,45684,51048,41920,28827
113587,112231,75,22,184,1075,30750,16713,20271,25784,11140,8216
59036,57868,50,1,212,905,14776,10055,9485,11751,7629,4578
5246,5207,1,0,23,15,1575,1162,1090,693,407,319
29074,13795,160,171,121,14827,1651,4215,3960,2964,1854,907
18260,11279,146,255,230,6350,2333,4187,3404,2519,1346,539
37278,30132,58,230,108,6750,2711,11238,8904,4717,2683,1510
52521,39404,1049,348,3062,8658,8985,11103,10993,8094,5436,2643
10432,3509,2828,51,142,3902,448,1688,2524,1576,668,300
16831,14055,124,8,128,2516,1730,4669,3599,2300,1561,764
10992,9392,138,6,43,1413,701,2800,1899,2088,1580,615
8766,6941,78,233,740,774,1666,1928,2372,1760,758,243
7405,3444,600,1,336,3024,555,2050,2306,1247,442,253
5421,1657,12,114,72,3566,105,1106,965,367,173,43
4638,4494,5,13,40,86,1554,1064,849,621,377,130
4953,3612,11,4,81,1245,995,1349,1034,607,387,239
2962,1684,18,34,34,1192,202,532,514,378,151,57
2565,961,56,141,51,1356,283,1240,633,181,135,90
1355,241,54,3,38,1019,54,496,468,121,42,18
1196,221,135,119,72,649,65,326,347,162,88,21
1087,389,212,27,114,345,115,256,373,190,93,26
1320,1274,8,4,4,30,201,217,252,278,216,155
318,178,57,11,26,46,43,42,110,59,35,13
5878,2541,471,163,229,2474,620,2007,1566,750,331,133
97428,77224,359,3486,190,16169,23904,15300,13328,16637,14065,8381
16103,11868,36,37,51,4111,3506,2979,2300,2643,2184,1169
1979,1582,16,10,29,342,282,463,426,284,160,97
3253,2669,8,4,81,491,598,903,488,395,290,137
3494,2823,21,44,104,502,516,935,727,446,300,177
28421,21331,164,43,109,6774,5628,5966,5151,3540,2292,1146
10826,9208,128,14,44,1432,1878,2290,1871,1764,1583,750
9675,7953,211,29,109,1373,1594,1740,1731,1658,1579,441
10716,9121,207,48,217,1123,2300,2695,1738,1632,1138,380
4388,3259,62,13,36,1018,337,716,811,893,625,188
4141,3500,49,10,43,539,795,1072,468,606,592,180
2230,813,100,5,31,1281,114,364,309,183,117,32
3066,2709,18,20,35,284,368,746,646,626,344,158
945,503,8,1,6,427,57,142,163,99,65,12
1494,1398,19,4,18,55,332,396,202,248,211,78
1727,1558,19,6,13,131,293,516,275,292,205,73
1954,1330,12,1,24,587,231,408,349,255,117,56
2029,1921,13,4,15,76,460,532,272,285,306,123
957,850,5,1,6,95,160,203,182,178,113,51
1174,1000,6,0,17,151,180,259,210,182,149,85
1013,622,8,0,14,369,119,197,122,117,81,20
1549,1374,15,1,13,146,295,429,216,236,208,62
455,289,3,0,2,161,13,73,89,72,39,18
799,569,11,5,1,213,76,118,133,132,97,48
