year,class_1,class_2,case_num,less_500,over_500,over_1000,over_1500,over_2000,over_3000,over_max,avg_ex
2016,월별,4월,1032,18.1,25,23,11.9,12.9,7.8,1.2,1430.3
2016,월별,5월,1030,17.5,25.1,22.4,12.6,10,11,1.5,1520.5
2016,월별,6월,1080,15,26,20.7,13.2,9.5,13.9,1.7,1619.6
2016,월별,7월,1183,9.9,24.9,22.1,18.7,14.9,9.6,-1,1617.4
2016,월별,8월,1154,9.8,28.8,19.7,14.1,11.7,13.7,2.1,1681.5
2016,월별,9월,1046,11.4,24.8,24.7,13,11.1,13.2,1.9,1755.6
2016,월별,10월,1103,11.1,26.3,26.3,13.9,9.5,10.8,2.1,1644.1
2016,월별,11월,906,14.2,29.7,20.6,11.3,9.5,12.7,1.9,1614.8
2016,월별,12월,937,12.5,28.8,22.8,14.7,9.4,10.7,1.1,1522.9
2016,거주국,일본,1763,29.3,49.1,14.2,3.1,2.3,1.8,0.2,813.9
2016,거주국,중국,6020,4.6,17.1,24.3,18.4,15.8,17.8,1.9,2059.5
2016,거주국,홍콩,499,10.3,29.2,25.5,13.9,12,8.5,0.6,1519.6
2016,거주국,싱가포르,158,8.9,23.2,26.4,15.1,18,7.5,0.8,1573.3
2016,거주국,대만,639,17.4,28.4,28.6,13.3,6,5.4,0.9,1244.3
2016,거주국,태국,324,18,40.9,21.9,9.1,5.9,3.6,0.6,1124.7
2016,거주국,말레이시아,223,23,30.6,24.4,8.3,6.2,2.5,4.9,1032.6
2016,거주국,호주,115,30.1,31.9,14.3,7.6,8.6,5.8,1.7,1149.9
2016,거주국,미국,630,27.6,28.2,16.3,9.2,6.7,9.8,2.3,1338.4
2016,거주국,캐나다,126,34.4,27,15.6,10.8,7.5,4.3,0.5,1020.6
2016,거주국,영국,91,26.5,32.5,17.4,9.2,6.7,7.2,0.5,1151.9
2016,거주국,독일,77,20,30.9,18.2,11.9,8.4,9,1.5,1318.7
2016,거주국,프랑스,66,21.2,43.9,13.4,7.6,8.4,4.2,1.2,1054.9
