년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-07,Pakistan,1087,-9.79253112,0.075065587,882,171,389,212,27,114,345,115,256,373,190,93,26
19-07,Israel,1320,11.29848229,0.091156003,880,439,1274,8,4,4,30,201,217,252,278,216,155
19-07,Iran,318,-54.82954545,0.02196031,215,87,178,57,11,26,46,43,42,110,59,35,13
19-07,Asia others,5878,2.06633096,0.405920444,3925,1482,2541,471,163,229,2474,620,2007,1566,750,331,133
19-07,USA,97428,7.929544699,6.728141723,47919,43696,77224,359,3486,190,16169,23904,15300,13328,16637,14065,8381
19-07,Canada,16103,7.339021464,1.112034181,7271,7510,11868,36,37,51,4111,3506,2979,2300,2643,2184,1169
19-07,Brazil,1979,22.84295469,0.136664947,905,807,1582,16,10,29,342,282,463,426,284,160,97
19-07,Mexico,3253,11.59519726,0.224644302,1311,1500,2669,8,4,81,491,598,903,488,395,290,137
19-07,America others,3494,17.92102599,0.241287178,1579,1522,2823,21,44,104,502,516,935,727,446,300,177
19-07,Russia,28421,0.569709837,1.962685428,10755,12968,21331,164,43,109,6774,5628,5966,5151,3540,2292,1146
19-07,UK,10826,1.338575307,0.747617341,6129,4007,9208,128,14,44,1432,1878,2290,1871,1764,1583,750
19-07,Germany,9675,6.306999231,0.668132068,5781,2962,7953,211,29,109,1373,1594,1740,1731,1658,1579,441
19-07,France,10716,11.79968701,0.740021007,5347,4536,9121,207,48,217,1123,2300,2695,1738,1632,1138,380
19-07,Italy,4388,14.89918827,0.303024653,2514,1056,3259,62,13,36,1018,337,716,811,893,625,188
19-07,Netherland,4141,16.02689829,0.285967431,2197,1516,3500,49,10,43,539,795,1072,468,606,592,180
19-07,Ukraine,2230,5.437352246,0.153998399,758,361,813,100,5,31,1281,114,364,309,183,117,32
19-07,Spain,3066,15.30650621,0.211730535,1657,1231,2709,18,20,35,284,368,746,646,626,344,158
19-07,Romania,945,4.419889503,0.065259411,337,201,503,8,1,6,427,57,142,163,99,65,12
19-07,Norway,1494,15.54524362,0.103172022,774,693,1398,19,4,18,55,332,396,202,248,211,78
19-07,Sweden,1727,9.79020979,0.119262437,986,668,1558,19,6,13,131,293,516,275,292,205,73
19-07,Poland,1954,3.167898627,0.134938508,763,653,1330,12,1,24,587,231,408,349,255,117,56
19-07,Swiss,2029,22.59818731,0.140117826,1089,889,1921,13,4,15,76,460,532,272,285,306,123
19-07,Portugal,957,-1.340206186,0.066088102,453,434,850,5,1,6,95,160,203,182,178,113,51
19-07,Austria,1174,8.502772643,0.081073597,654,411,1000,6,0,17,151,180,259,210,182,149,85
19-07,Finland,1013,6.29590766,0.069955327,368,288,622,8,0,14,369,119,197,122,117,81,20
19-07,Belgium,1549,20.92115535,0.106970189,828,618,1374,15,1,13,146,295,429,216,236,208,62
19-07,Croatia,455,4.118993135,0.031421198,256,48,289,3,0,2,161,13,73,89,72,39,18
19-07,Greece,799,13.81766382,0.055177005,464,140,569,11,5,1,213,76,118,133,132,97,48
19-07,Bulgaria,543,6.0546875,0.037498265,217,121,311,2,3,8,219,51,78,69,85,42,13
19-07,Denmark,1507,24.64846981,0.10406977,802,617,1348,8,10,15,126,312,423,162,247,207,68
19-07,Ireland,806,8.187919463,0.055660408,466,283,658,6,2,2,138,109,232,143,129,96,40
19-07,Europe others,4106,24.34887947,0.283550416,1769,1363,2858,36,47,57,1108,537,1077,652,516,245,105
19-07,Austrailia,11840,3.037159516,0.817641725,6091,5451,10403,79,40,40,1278,2220,2087,2012,2255,1658,1310
19-07,New Zealand,2799,4.831460674,0.193292161,1400,1256,2176,14,5,5,599,466,462,508,412,449,359
19-07,Oceania others,566,-1.393728223,0.039086589,290,207,464,4,9,8,81,62,131,108,84,82,30
19-07,South Africa,933,-1.582278481,0.06443072,457,362,647,4,3,4,275,60,278,183,123,116,59
19-07,Africa others,4423,7.694180667,0.305441668,2567,1055,2364,719,94,190,1056,328,1072,969,719,414,120
19-07,Stateless,58,-3.333333333,0.00400534,27,18,40,0,0,1,17,6,9,7,9,10,4
19-07,Overseas Korean,15587,-20.07486412,1.07640047,6241,9346,0,0,0,0,15587,646,1183,1702,3842,4375,3839
19-08,China,578112,20.90852052,36.44407517,216737,345329,451570,3625,388,44291,78238,78339,160089,142873,76689,57236,46840
19-08,Japan,329652,4.643123562,20.78120203,113714,212982,318985,2195,165,2957,5350,73005,86736,44324,56869,40649,25113
19-08,Taiwan,109273,8.710964314,6.888550015,37471,70789,106682,73,17,1088,1413,27979,20487,19175,22826,11041,6752
19-08,Hong Kong,65958,4.039623326,4.157980305,23780,41328,64438,74,6,474,966,17324,10910,9862,13538,8452,5022
19-08,Macao,6321,-1.542056075,0.398474689,2174,4146,6258,3,0,49,11,1892,1247,1254,944,549,434
19-08,Phillipines,41817,37.28947109,2.636136063,9660,7105,13342,144,157,305,27869,1166,4750,5078,3102,1809,860
19-08,Indonesia,18210,15.28234996,1.147955083,6701,4940,8337,103,262,814,8694,1202,4007,2885,1896,1160,491
19-08,Thailand,32830,15.128349,2.06959722,9448,17456,24857,50,318,423,7182,2071,9056,7269,4133,2621,1754
19-08,Vietnam,43583,17.52190913,2.747464381,18868,19648,28562,1020,245,4152,9604,5706,10881,9670,5962,4391,1906
19-08,India,17001,60.23562677,1.071739943,6465,1671,3870,2850,114,341,9826,503,2057,2938,1596,708,334
19-08,Malaysia,20520,6.774898533,1.293577062,7695,10396,16892,115,13,690,2810,2717,5781,3784,2816,1941,1052
19-08,Singapore,13008,9.837034535,0.82002195,5147,6564,11003,206,8,367,1424,798,3102,2547,2282,1865,1117
19-08,Mongolia,9626,-7.602226915,0.606821287,4368,5206,5984,106,228,1762,1546,1954,2418,2557,1647,757,241
19-08,Uzbekistan,7983,5.09478673,0.503246866,5356,2108,2707,590,9,1379,3298,923,2441,2298,1127,446,229
19-08,Myanmar,5523,5.159939071,0.348168914,2348,565,1373,9,80,212,3849,113,1221,1048,351,137,43
19-08,*GCC,5285,23.85751113,0.333165437,2627,2611,4922,15,19,178,151,1559,1524,1053,550,419,133
19-08,Kazakhstan,4948,7.917121047,0.311921019,1969,2627,2810,14,20,611,1493,971,1417,965,647,372,224
19-08,Turkey,3015,-5.692837035,0.190065051,1087,888,1625,17,45,212,1116,244,710,488,326,150,57
19-08,Cambodia,2619,21.19389172,0.165101283,1739,880,1008,51,137,158,1265,205,1178,815,173,110,138
19-08,Sri Lanka,1916,18.05298829,0.120784291,1320,182,401,47,7,84,1377,31,591,618,172,67,23
19-08,Bangladesh,1868,20.51612903,0.11775838,1438,221,381,142,89,271,985,98,611,604,212,101,33
19-08,Pakistan,1191,1.794871795,0.075080423,979,173,315,181,22,340,333,82,457,388,121,84,20
19-08,Israel,1110,-7.883817427,0.069974198,708,399,1029,10,1,17,53,155,255,163,235,166,133
19-08,Iran,526,-12.91390728,0.033158944,321,192,348,29,7,63,79,107,114,157,76,44,15
19-08,Asia others,6449,25.17468944,0.406543785,4003,1933,2715,397,209,799,2329,748,2169,1731,774,374,140
19-08,USA,86586,11.98541109,5.458365668,43314,37094,62072,450,3224,1552,19288,13912,16819,13577,13230,12918,9952
19-08,Canada,16700,13.71374098,1.052764958,7645,7403,11304,43,34,175,5144,2530,3744,2655,2403,2375,1341
19-08,Brazil,2188,23.5460192,0.137931121,1006,792,1587,21,13,98,469,241,475,490,298,155,139
19-08,Mexico,2809,36.09496124,0.177078848,1133,1025,1862,11,12,235,689,249,687,482,359,243,138
19-08,America others,4200,34.87475915,0.264767235,1691,1524,2723,18,34,308,1117,293,1041,839,463,337,242
19-08,Russia,28700,24.7771836,1.809242772,10968,13609,20964,133,39,592,6972,4587,6150,5524,4148,2723,1445
19-08,UK,13116,17.82249371,0.826830251,7029,4825,9810,141,26,239,2900,1891,3266,2195,1860,1672,970
19-08,Germany,11159,11.47852148,0.703461327,6301,3791,8239,236,24,1027,1633,1575,3039,1834,1485,1516,643
19-08,France,12984,21.0968103,0.818508995,6419,5697,9744,246,75,1420,1499,2656,4238,1882,1646,1229,465
19-08,Italy,5915,38.29787234,0.372880523,2650,1706,3861,87,30,212,1725,455,1088,1061,824,628,300
19-08,Netherland,3961,16.91263282,0.249700718,2171,1279,2848,47,11,401,654,634,1074,482,565,492,203
19-08,Ukraine,2904,32.66331658,0.183067631,748,359,711,63,5,64,2061,137,346,309,191,98,26
19-08,Spain,4554,34.53471196,0.28708333,2431,1939,3926,29,18,253,328,600,1121,1061,775,554,259
19-08,Romania,1432,54.64362851,0.090273019,415,287,638,10,3,32,749,67,187,182,158,83,25
19-08,Norway,803,-18.31129196,0.050620974,479,290,584,36,3,116,64,97,236,129,136,117,54
19-08,Sweden,1490,9.478324761,0.093929329,846,590,1114,35,2,219,120,183,573,230,198,174,78
19-08,Poland,2326,18.79468846,0.146630616,903,824,1571,10,3,95,647,243,558,416,305,131,74
19-08,Swiss,1664,18.26581379,0.104898257,970,657,1478,22,0,80,84,205,601,256,227,224,114
19-08,Portugal,1342,29.78723404,0.084599436,570,570,1055,6,0,46,235,235,272,202,208,164,59
19-08,Austria,1218,13.40782123,0.076782498,654,441,966,9,2,78,163,132,368,199,151,159,86
19-08,Finland,1075,5.083088954,0.067767804,445,284,546,11,2,145,371,68,279,124,121,98,39
19-08,Belgium,1305,27.0691334,0.082266962,723,486,995,17,4,112,177,182,336,239,213,163,76
19-08,Croatia,614,49.02912621,0.038706448,197,53,223,11,0,6,374,6,47,57,75,50,15
19-08,Greece,778,13.41107872,0.049044978,427,159,508,36,0,7,227,40,100,168,123,76,79
19-08,Bulgaria,751,25.16666667,0.047342903,186,174,321,4,1,27,398,57,107,65,72,45,14
19-08,Denmark,1045,4.291417166,0.06587661,569,397,728,13,10,162,132,75,425,132,170,122,42
19-08,Ireland,932,15.92039801,0.05875311,548,271,579,9,3,20,321,66,281,202,134,91,45
19-08,Europe others,4668,22.61623325,0.29426987,1776,1474,2668,38,20,382,1560,401,1170,686,521,272,200
19-08,Austrailia,13647,17.88027987,0.860304394,6992,6299,12019,95,42,108,1383,1111,1667,2045,2000,2080,4388
19-08,New Zealand,3112,13.86754482,0.196179913,1628,1333,2436,21,10,11,634,271,519,521,406,492,752
19-08,Oceania others,609,-0.163934426,0.038391249,304,239,519,1,6,9,74,104,136,149,94,36,24
19-08,South Africa,1887,27.5862069,0.118956136,659,751,634,6,1,11,1235,61,659,322,159,138,71
19-08,Africa others,4864,16.97931698,0.306625674,2702,1286,2081,593,165,841,1184,380,1219,1202,656,410,121
19-08,Stateless,57,-24,0.00359327,29,21,36,1,0,8,12,2,16,4,10,13,5
19-08,Overseas Korean,16560,-17.72246236,1.043939383,6938,9622,0,0,0,0,16560,1019,1466,1757,3797,4571,3950
19-09,China,541350,24.56424947,37.08730228,198669,330432,432018,3873,447,25545,79467,23689,168939,153165,67744,63315,52249
19-09,Japan,251119,1.320169298,17.20389076,89993,158395,242475,2362,211,1137,4934,30541,76212,37803,40138,35970,27724
19-09,Taiwan,102758,17.63803505,7.039839305,33054,68711,100888,112,14,300,1444,9320,25344,25523,17754,13424,10400
19-09,Hong Kong,45911,-7.528852545,3.145312894,14579,30584,44708,49,7,256,891,1796,11432,9506,7831,8902,5696
19-09,Macao,2727,-10.14827018,0.186823817,768,1959,2687,2,0,24,14,122,990,804,349,299,163
19-09,Phillipines,36252,8.451251982,2.483585263,11026,10400,18539,203,196,121,17193,1170,6381,6349,3638,2341,1547
19-09,Indonesia,19309,5.883965782,1.322838681,8226,6912,11858,149,317,279,6706,1240,4915,4081,2432,1606,864
19-09,Thailand,36052,5.114000816,2.46988348,10197,20468,28877,54,411,133,6577,1902,10416,8616,4384,3163,2184
19-09,Vietnam,43617,16.37096129,2.988153438,18567,20344,28210,1064,530,5577,8236,4875,11390,10032,5639,4774,2201
19-09,India,12716,11.61239358,0.87115939,6847,1600,4111,3152,146,186,5121,340,2033,3118,1799,806,351
19-09,Malaysia,28020,-2.072484535,1.919619858,10219,15736,25123,166,5,251,2475,2240,8957,6158,3624,3016,1960
19-09,Singapore,17745,15.63273817,1.215690734,7025,9452,16137,137,13,63,1395,2102,3584,3315,3029,2725,1722
19-09,Mongolia,10900,-1.801801802,0.746747197,5208,5658,8120,122,315,1155,1188,1308,2297,3417,2361,1119,364
19-09,Uzbekistan,9056,13.78313859,0.620416753,6445,2073,3093,853,1,1484,3625,952,2690,2730,1297,567,282
19-09,Myanmar,6534,18.60591759,0.447637264,3063,617,1832,19,255,93,4335,148,1575,1225,436,217,79
19-09,*GCC,2462,25.35641548,0.168668954,1579,834,2187,30,6,135,104,254,829,692,354,190,94
19-09,Kazakhstan,4909,13.45042755,0.336310274,2121,2493,2956,17,2,179,1755,434,1437,1142,773,490,338
19-09,Turkey,2802,19.43734015,0.191961986,1198,555,1561,21,61,37,1122,79,494,625,331,160,64
19-09,Cambodia,3629,82.45349422,0.24861886,2371,1256,1794,49,170,32,1584,415,1521,961,285,220,225
19-09,Sri Lanka,2103,22.26744186,0.144074253,1760,156,351,81,8,22,1641,41,888,695,173,98,21
19-09,Bangladesh,1880,18.68686869,0.128796764,1576,138,302,167,102,185,1124,57,716,593,206,110,32
19-09,Pakistan,1459,9.78179082,0.09995451,1282,140,323,310,29,321,476,57,593,463,182,105,22
19-09,Israel,1837,-6.035805627,0.125850881,1051,771,1779,11,1,3,43,125,456,323,323,268,327
19-09,Iran,446,-21.47887324,0.030554977,268,168,281,63,8,42,52,31,86,156,83,57,23
19-09,Asia others,7350,34.24657534,0.503540541,4834,2008,3328,567,315,299,2841,525,2549,1984,964,591,229
19-09,USA,90819,15.21452313,6.221911344,45746,39440,70634,421,2736,186,16842,6114,14244,15643,13913,17068,18204
19-09,Canada,18213,16.25071807,1.247752908,8549,8197,13449,50,39,31,4644,1076,3465,3525,2498,3112,3070
19-09,Brazil,2498,46.2529274,0.171135275,1199,992,2029,23,17,36,393,124,508,723,424,225,187
19-09,Mexico,3038,52.89380976,0.20813009,1362,1221,2506,3,12,27,490,120,635,750,418,351,309
19-09,America others,4588,27.19711672,0.314318912,2152,1928,3756,18,73,77,664,242,1012,1150,713,526,437
19-09,Russia,30266,29.40824354,2.073490886,11907,12896,21349,175,36,155,8551,2637,6754,6507,4197,2910,1798
19-09,UK,13325,23.91890635,0.912881321,7924,4649,11473,156,28,13,1655,561,3180,2852,2073,2269,1638
19-09,Germany,12670,17.75092937,0.86800798,7501,4210,10802,218,21,89,1540,912,2913,2616,1998,1995,1277
19-09,France,10242,28.92749245,0.701668329,5629,3797,8587,245,32,127,1251,532,2987,2330,1538,1152,887
19-09,Italy,4513,0.691655511,0.309180743,2690,1128,3550,81,17,26,839,159,760,1010,929,652,308
19-09,Netherland,3485,10.42458809,0.238753576,2053,956,2816,28,9,18,614,136,715,637,641,561,319
19-09,Ukraine,2214,4.286387188,0.151678743,667,384,715,80,5,26,1388,76,302,364,174,96,39
19-09,Spain,3134,22.85378283,0.214706946,1747,1205,2764,27,14,30,299,151,755,858,644,348,196
19-09,Romania,1179,12.60744986,0.080772013,408,309,675,12,5,4,483,42,207,200,136,87,45
19-09,Norway,1054,0.094966762,0.072208399,677,359,962,30,2,20,40,83,263,199,210,163,118
19-09,Sweden,2010,31.97636244,0.137702923,1179,761,1784,26,5,66,129,147,467,351,400,354,221
